frame,time_s,detected,px_x,px_y,pool_x_m,pool_y_m,speed_mps,orange_area_px2,cluster_contours,num_orange_candidates
177,5.904754946439824,False,nan,nan,nan,nan,nan,0.0,0,1
178,5.938115143877337,False,nan,nan,nan,nan,nan,0.0,0,3
179,5.97147534131485,False,nan,nan,nan,nan,nan,0.0,0,2
180,6.0048355387523635,False,nan,nan,nan,nan,nan,0.0,0,1
181,6.038195736189876,False,nan,nan,nan,nan,nan,0.0,0,2
182,6.07155593362739,False,nan,nan,nan,nan,nan,0.0,0,1
183,6.104916131064902,False,nan,nan,nan,nan,nan,0.0,0,2
184,6.138276328502416,False,nan,nan,nan,nan,nan,0.0,0,2
185,6.171636525939929,False,nan,nan,nan,nan,nan,0.0,0,3
186,6.204996723377442,False,nan,nan,nan,nan,nan,0.0,0,3
187,6.238356920814955,False,nan,nan,nan,nan,nan,0.0,0,3
188,6.271717118252468,False,nan,nan,nan,nan,nan,0.0,0,2
189,6.3050773156899815,False,nan,nan,nan,nan,nan,0.0,0,2
190,6.338437513127494,False,nan,nan,nan,nan,nan,0.0,0,3
191,6.371797710565008,False,nan,nan,nan,nan,nan,0.0,0,2
192,6.405157908002521,False,nan,nan,nan,nan,nan,0.0,0,4
193,6.438518105440034,False,nan,nan,nan,nan,nan,0.0,0,3
194,6.471878302877547,False,nan,nan,nan,nan,nan,0.0,0,2
195,6.50523850031506,False,nan,nan,nan,nan,nan,0.0,0,2
196,6.538598697752573,False,nan,nan,nan,nan,nan,0.0,0,2
197,6.571958895190086,False,nan,nan,nan,nan,nan,0.0,0,2
198,6.6053190926275995,False,nan,nan,nan,nan,nan,0.0,0,2
199,6.638679290065113,False,nan,nan,nan,nan,nan,0.0,0,2
200,6.672039487502626,False,nan,nan,nan,nan,nan,0.0,0,2
201,6.705399684940139,False,nan,nan,nan,nan,nan,0.0,0,3
202,6.738759882377652,False,nan,nan,nan,nan,nan,0.0,0,4
203,6.772120079815165,False,nan,nan,nan,nan,nan,0.0,0,4
204,6.805480277252678,False,nan,nan,nan,nan,nan,0.0,0,3
205,6.838840474690191,False,nan,nan,nan,nan,nan,0.0,0,2
206,6.872200672127705,False,nan,nan,nan,nan,nan,0.0,0,2
207,6.9055608695652175,False,nan,nan,nan,nan,nan,0.0,0,1
208,6.938921067002731,False,nan,nan,nan,nan,nan,0.0,0,1
209,6.972281264440244,False,nan,nan,nan,nan,nan,0.0,0,3
210,7.005641461877757,False,nan,nan,nan,nan,nan,0.0,0,3
211,7.039001659315271,False,nan,nan,nan,nan,nan,0.0,0,1
212,7.072361856752783,False,nan,nan,nan,nan,nan,0.0,0,2
